"AMST","AMST"
"ANTH","ANTH"
"ARAB","ARAB"
"ARTH","ARTH"
"ARTS","ARTS"
"BIOL","BIOL"
"BUAD","BUAD"
"CHEM","CHEM"
"CHIN","CHIN"
"CLAS","CLAS"
"COMM","COMM"
"CPRD","CPRD"
"CPSC","CPSC"
"DANC","DANC"
"ECON","ECON"
"EDSE","EDSE"
"EDUC","EDUC"
"EESC","EESC"
"ENGL","ENGL"
"FREN","FREN"
"GEOG","GEOG"
"GEOL","GEOL"
"GERM","GERM"
"GISC","GISC"
"GREK","GREK"
"HEED","HEED"
"HISP","HISP"
"HIST","HIST"
"IDIS","IDIS"
"ITAL","ITAL"
"LATN","LATN"
"LING","LING"
"LRSP","LRSP"
"MATH","MATH"
"MSCI","MSCI"
"MUHL","MUHL"
"MUPR","MUPR"
"MUTH","MUTH"
"PHIL","PHIL"
"PHYS","PHYS"
"PSCI","PSCI"
"PSYC","PSYC"
"RELG","RELG"
"SOCG","SOCG"
"SPAN","SPAN"
"THEA","THEA"
"WGST","WGST"
